,Team,Year,Wins,Losses,Win Percentage,Goals Scored
0,                            Boston Bruins                        ,                            1990                        ,                            44                        ,                            24                        ,                            0.55                        ,                            299                        
1,                            Buffalo Sabres                        ,                            1990                        ,                            31                        ,                            30                        ,                            0.388                        ,                            292                        
2,                            Calgary Flames                        ,                            1990                        ,                            46                        ,                            26                        ,                            0.575                        ,                            344                        
3,                            Chicago Blackhawks                        ,                            1990                        ,                            49                        ,                            23                        ,                            0.613                        ,                            284                        
4,                            Detroit Red Wings                        ,                            1990                        ,                            34                        ,                            38                        ,                            0.425                        ,                            273                        
5,                            Edmonton Oilers                        ,                            1990                        ,                            37                        ,                            37                        ,                            0.463                        ,                            272                        
6,                            Hartford Whalers                        ,                            1990                        ,                            31                        ,                            38                        ,                            0.388                        ,                            238                        
7,                            Los Angeles Kings                        ,                            1990                        ,                            46                        ,                            24                        ,                            0.575                        ,                            340                        
8,                            Minnesota North Stars                        ,                            1990                        ,                            27                        ,                            39                        ,                            0.338                        ,                            256                        
9,                            Montreal Canadiens                        ,                            1990                        ,                            39                        ,                            30                        ,                            0.487                        ,                            273                        
10,                            New Jersey Devils                        ,                            1990                        ,                            32                        ,                            33                        ,                            0.4                        ,                            272                        
11,                            New York Islanders                        ,                            1990                        ,                            25                        ,                            45                        ,                            0.312                        ,                            223                        
12,                            New York Rangers                        ,                            1990                        ,                            36                        ,                            31                        ,                            0.45                        ,                            297                        
13,                            Philadelphia Flyers                        ,                            1990                        ,                            33                        ,                            37                        ,                            0.412                        ,                            252                        
14,                            Pittsburgh Penguins                        ,                            1990                        ,                            41                        ,                            33                        ,                            0.512                        ,                            342                        
15,                            Quebec Nordiques                        ,                            1990                        ,                            16                        ,                            50                        ,                            0.2                        ,                            236                        
16,                            St. Louis Blues                        ,                            1990                        ,                            47                        ,                            22                        ,                            0.588                        ,                            310                        
17,                            Toronto Maple Leafs                        ,                            1990                        ,                            23                        ,                            46                        ,                            0.287                        ,                            241                        
18,                            Vancouver Canucks                        ,                            1990                        ,                            28                        ,                            43                        ,                            0.35                        ,                            243                        
19,                            Washington Capitals                        ,                            1990                        ,                            37                        ,                            36                        ,                            0.463                        ,                            258                        
20,                            Winnipeg Jets                        ,                            1990                        ,                            26                        ,                            43                        ,                            0.325                        ,                            260                        
21,                            Boston Bruins                        ,                            1991                        ,                            36                        ,                            32                        ,                            0.45                        ,                            270                        
22,                            Buffalo Sabres                        ,                            1991                        ,                            31                        ,                            37                        ,                            0.388                        ,                            289                        
23,                            Calgary Flames                        ,                            1991                        ,                            31                        ,                            37                        ,                            0.388                        ,                            296                        
24,                            Chicago Blackhawks                        ,                            1991                        ,                            36                        ,                            29                        ,                            0.45                        ,                            257                        
25,                            Detroit Red Wings                        ,                            1991                        ,                            43                        ,                            25                        ,                            0.537                        ,                            320                        
26,                            Edmonton Oilers                        ,                            1991                        ,                            36                        ,                            34                        ,                            0.45                        ,                            295                        
27,                            Hartford Whalers                        ,                            1991                        ,                            26                        ,                            41                        ,                            0.325                        ,                            247                        
28,                            Los Angeles Kings                        ,                            1991                        ,                            35                        ,                            31                        ,                            0.438                        ,                            287                        
29,                            Minnesota North Stars                        ,                            1991                        ,                            32                        ,                            42                        ,                            0.4                        ,                            246                        
30,                            Montreal Canadiens                        ,                            1991                        ,                            41                        ,                            28                        ,                            0.512                        ,                            267                        
31,                            New Jersey Devils                        ,                            1991                        ,                            38                        ,                            31                        ,                            0.475                        ,                            289                        
32,                            New York Islanders                        ,                            1991                        ,                            34                        ,                            35                        ,                            0.425                        ,                            291                        
33,                            New York Rangers                        ,                            1991                        ,                            50                        ,                            25                        ,                            0.625                        ,                            321                        
34,                            Philadelphia Flyers                        ,                            1991                        ,                            32                        ,                            37                        ,                            0.4                        ,                            252                        
35,                            Pittsburgh Penguins                        ,                            1991                        ,                            39                        ,                            32                        ,                            0.487                        ,                            343                        
36,                            Quebec Nordiques                        ,                            1991                        ,                            20                        ,                            48                        ,                            0.25                        ,                            255                        
37,                            San Jose Sharks                        ,                            1991                        ,                            17                        ,                            58                        ,                            0.212                        ,                            219                        
38,                            St. Louis Blues                        ,                            1991                        ,                            36                        ,                            33                        ,                            0.45                        ,                            279                        
39,                            Toronto Maple Leafs                        ,                            1991                        ,                            30                        ,                            43                        ,                            0.375                        ,                            234                        
40,                            Vancouver Canucks                        ,                            1991                        ,                            42                        ,                            26                        ,                            0.525                        ,                            285                        
41,                            Washington Capitals                        ,                            1991                        ,                            45                        ,                            27                        ,                            0.562                        ,                            330                        
42,                            Winnipeg Jets                        ,                            1991                        ,                            33                        ,                            32                        ,                            0.412                        ,                            251                        
43,                            Boston Bruins                        ,                            1992                        ,                            51                        ,                            26                        ,                            0.607                        ,                            332                        
44,                            Buffalo Sabres                        ,                            1992                        ,                            38                        ,                            36                        ,                            0.452                        ,                            335                        
45,                            Calgary Flames                        ,                            1992                        ,                            43                        ,                            30                        ,                            0.512                        ,                            322                        
46,                            Chicago Blackhawks                        ,                            1992                        ,                            47                        ,                            25                        ,                            0.56                        ,                            279                        
47,                            Detroit Red Wings                        ,                            1992                        ,                            47                        ,                            28                        ,                            0.56                        ,                            369                        
48,                            Edmonton Oilers                        ,                            1992                        ,                            26                        ,                            50                        ,                            0.31                        ,                            242                        
49,                            Hartford Whalers                        ,                            1992                        ,                            26                        ,                            52                        ,                            0.31                        ,                            284                        
50,                            Los Angeles Kings                        ,                            1992                        ,                            39                        ,                            35                        ,                            0.464                        ,                            338                        
51,                            Minnesota North Stars                        ,                            1992                        ,                            36                        ,                            38                        ,                            0.429                        ,                            272                        
52,                            Montreal Canadiens                        ,                            1992                        ,                            48                        ,                            30                        ,                            0.571                        ,                            326                        
53,                            New Jersey Devils                        ,                            1992                        ,                            40                        ,                            37                        ,                            0.476                        ,                            308                        
54,                            New York Islanders                        ,                            1992                        ,                            40                        ,                            37                        ,                            0.476                        ,                            335                        
55,                            New York Rangers                        ,                            1992                        ,                            34                        ,                            39                        ,                            0.405                        ,                            304                        
56,                            Ottawa Senators                        ,                            1992                        ,                            10                        ,                            70                        ,                            0.119                        ,                            202                        
57,                            Philadelphia Flyers                        ,                            1992                        ,                            36                        ,                            37                        ,                            0.429                        ,                            319                        
